,close
791,0.3661
792,0.3503
793,0.3502
794,0.3578
795,0.3469
796,0.345
797,0.3311
798,0.3362
799,0.3185
800,0.3231
801,0.3251
802,0.3148
803,0.3253
804,0.339
805,0.3435
806,0.3431
807,0.3532
808,0.3564
809,0.3606
810,0.3539
811,0.3385
812,0.3303
813,0.3338
814,0.3441
815,0.351
816,0.3522
817,0.3584
818,0.3517
819,0.3637
820,0.3878
821,0.3809
822,0.4014
823,0.4017
824,0.4006
825,0.3975
826,0.3733
827,0.352
828,0.3432
829,0.3453
830,0.3517
831,0.351
832,0.3575
833,0.3512
834,0.3448
835,0.3396
836,0.3396
837,0.3517
838,0.3532
839,0.3486
840,0.3643
841,0.3591
842,0.3521
843,0.3432
844,0.3507
845,0.3513
846,0.3649
847,0.3609
848,0.3645
849,0.3497
850,0.3465
851,0.3261
852,0.3337
853,0.3399
854,0.3437
855,0.3561
856,0.355
857,0.3418
858,0.3575
859,0.3482
860,0.3341
861,0.3263
862,0.3336
863,0.363
864,0.4065
865,0.4447
866,0.4967
867,0.5901
868,0.6132
869,0.5709
870,0.5783
871,0.5792
872,0.7071
873,0.7416
874,0.7026
875,0.7325
876,0.7387
877,0.8003
878,0.8218
879,1.0175
880,1.0658
881,1.0226
882,0.9435
883,0.9603
884,1.0116
885,1.0321
886,1.0755
887,1.079
888,1.1496
889,1.2022
890,1.1914
891,1.1871
892,1.1597
893,1.2278
894,1.2103
895,1.1936
896,1.0034
897,1.0215
898,1.0868
899,1.1231
900,1.1213
901,1.061
902,1.0996
903,1.0775
904,1.0522
905,0.9681
906,0.8806
907,0.9501
908,0.9052
909,0.8834
910,0.9264
911,0.9358
912,0.9176
913,0.8611
914,0.8771
915,0.8895
916,0.859
917,0.8615
918,0.8451
919,0.9222
920,0.9612
921,1.0894
922,1.0707
923,1.0911
924,1.0934
925,0.9892
926,0.9468
927,0.9045
928,0.9303
929,0.9955
930,0.9677
931,0.9444
932,0.9972
933,1.0755
934,1.0892
935,1.133
936,1.1045
937,0.993
938,1.0094
939,1.0058
940,0.9827
941,0.9867
942,0.9712
943,0.9766
944,0.953
945,0.9345
946,0.9169
947,0.9399
948,0.9595
949,0.9429
950,0.8948
951,0.8052
952,0.812
953,0.7439
954,0.7325
955,0.7052
956,0.7072
957,0.7005
958,0.6814
959,0.7121
960,0.7781
961,0.7997
962,0.8107
963,0.7998
964,0.7811
965,0.7714
966,0.8089
967,0.7541
968,0.7738
969,0.8036
970,0.7621
971,0.7734
972,0.7697
973,0.6816
974,0.6832
975,0.6474
976,0.6451
977,0.6328
978,0.6593
979,1.135
980,0.8578
981,0.9409
982,0.9741
983,0.9065
984,0.8181
985,0.8052
986,0.7215
987,0.6712
988,0.7241
989,0.736
990,0.703
991,0.7373
992,0.7468
993,0.7049
994,0.7175
995,0.7017
996,0.7436
997,0.718
998,0.705
999,0.708
