,close
419,0.5384
420,0.5245
421,0.521
422,0.5301
423,0.5187
424,0.5258
425,0.5231
426,0.5236
427,0.5232
428,0.5398
429,0.5284
430,0.511
431,0.498
432,0.4988
433,0.5047
434,0.5087
435,0.5056
436,0.5033
437,0.505
438,0.505
439,0.5038
440,0.4969
441,0.4744
442,0.4804
443,0.4832
444,0.4892
445,0.5005
446,0.4998
447,0.4925
448,0.503
449,0.514
450,0.5212
451,0.5071
452,0.5122
453,0.5076
454,0.5021
455,0.5056
456,0.5019
457,0.4993
458,0.5098
459,0.5215
460,0.5149
461,0.5241
462,0.5123
463,0.539
464,0.5326
465,0.5227
466,0.5255
467,0.5216
468,0.5174
469,0.5027
470,0.4965
471,0.4888
472,0.483
473,0.4851
474,0.4865
475,0.4874
476,0.4978
477,0.4912
478,0.4878
479,0.5197
480,0.5149
481,0.5208
482,0.5226
483,0.5475
484,0.5588
485,0.5552
486,0.5533
487,0.543
488,0.5446
489,0.5561
490,0.578
491,0.5996
492,0.6085
493,0.6054
494,0.6121
495,0.6149
496,0.6607
497,0.7148
498,0.685
499,0.6869
500,0.6665
501,0.6595
502,0.6626
503,0.6613
504,0.6702
505,0.6296
506,0.6481
507,0.6119
508,0.6133
509,0.6106
510,0.6258
511,0.6122
512,0.5788
513,0.6109
514,0.6209
515,0.6212
516,0.6228
517,0.6157
518,0.6039
519,0.6107
520,0.6091
521,0.6063
522,0.6125
523,0.6208
524,0.6229
525,0.6245
526,0.621
527,0.64
528,0.6432
529,0.6721
530,0.6584
531,0.6617
532,0.6187
533,0.6192
534,0.6275
535,0.6316
536,0.6156
537,0.6203
538,0.6103
539,0.6125
540,0.6047
541,0.6171
542,0.6241
543,0.6244
544,0.6195
545,0.6121
546,0.6462
547,0.6219
548,0.634
549,0.6346
550,0.623
551,0.6207
552,0.6156
553,0.6294
554,0.6246
555,0.5823
556,0.5868
557,0.5757
558,0.5679
559,0.5515
560,0.5776
561,0.5669
562,0.6008
563,0.6019
564,0.5699
565,0.5747
566,0.5763
567,0.5757
568,0.5757
569,0.5685
570,0.552
571,0.5443
572,0.5534
573,0.5464
574,0.5275
575,0.5183
576,0.5181
577,0.5138
578,0.5323
579,0.5303
580,0.5241
581,0.5352
582,0.5107
583,0.5033
584,0.5058
585,0.5105
586,0.5186
587,0.5032
588,0.5069
589,0.505
590,0.5138
591,0.5147
592,0.5262
593,0.5239
594,0.5261
595,0.5315
596,0.5247
597,0.5378
598,0.5622
599,0.5643
600,0.5496
